url,action,replacement,page,note
http://yudkowsky.net/singularity/simplified,keep,,,
https://bioethicsarchive.georgetown.edu/pcbe/background/sandelpaper.html,keep,,,
https://chaitanya1.files.wordpress.com/2008/06/bigbang.gif,keep,,,
https://en.wikiquote.org/wiki/John_McCarthy_computer_scientist,replace,https://en.wikiquote.org/wiki/John_McCarthy_(computer_scientist),,
https://intelligence.org/,keep,,,
https://intelligence.org/2007/09/30/three-major-singularity-schools/,keep,,,
https://intelligence.org/wp-content/uploads/2014/10/Hintze-Problem-Class-Dominance-In-Predictive-Dilemmas.pdf,replace,https://web.archive.org/web/20200220220836/https://intelligence.org/wp-content/uploads/2014/10/Hintze-Problem-Class-Dominance-In-Predictive-Dilemmas.pdf,,
https://journalism.berkeley.edu/projects/biplog/archive/000748.html,replace,https://web.archive.org/web/20160609203444/http://journalism.berkeley.edu/projects/biplog/archive/000748.html,,
https://wrldrels.org/2016/10/08/unarius-academy-of-science/,replace,https://web.archive.org/web/20200220220026/https://wrldrels.org/2016/10/08/unarius-academy-of-science/,,
https://www.cs.auckland.ac.nz/~andwhay/postlist.html,replace,https://web.archive.org/web/20170312202730/https://www.cs.auckland.ac.nz/~andwhay/postlist.html,,
https://www.newscientist.com/article/mg19826551-700-do-we-need-to-change-the-definition-of-science/,keep,,,
https://www.samharris.org/blog/item/the-pleasures-of-drowning,replace,https://web.archive.org/web/20171120070214/https://www.samharris.org/blog/item/the-pleasures-of-drowning,,
https://www.thoughtco.com/ethics-descriptive-normative-and-analytic-4037543,replace,https://web.archive.org/web/20190415032833/https://www.thoughtco.com/ethics-descriptive-normative-and-analytic-4037543,,
